x,y,gal
-1.0938019832959052,0.4342688609470785,sf
-1.5205071255571994,0.5850583773262775,sf
-0.5739582421462834,-0.1454838039874611,sf
-0.4468934746062668,-0.1531331958804432,sf
-0.5281784976836031,-0.2115739450283008,sf
-0.4859282329855018,-0.13722900876355,sf
-0.9405649440769044,0.326513625660256,sf
-0.7153306276458987,0.1186043870088243,sf
-1.2416675312560377,0.6381071504093601,sf
-1.3447482941240287,0.7361976346933015,sf
-0.4836882559168139,-0.3404383443076107,sf
-1.1254490498426135,0.5047279585653246,sf
-1.0637907887037563,0.4833873347201111,sf
-1.1910317776824202,0.4692987304061116,sf
-0.4636730732847626,-0.5642683157342624,sf
-1.6057227764750492,0.640227249875103,sf
-0.5081050190782938,-0.171773016878031,sf
-0.5878875994992612,0.1329689538209355,sf
-1.1721539010342072,0.4813422168831408,sf
-1.0657468248554995,0.3412762456158906,sf
-1.3556040006170884,0.6800976398197112,sf
-0.4101134672292441,-0.7046754545506646,sf
-0.7228461444639254,0.1573782859727924,sf
-1.2946177370403866,0.5750808252808575,sf
-1.0126127720955898,0.4597471723061804,sf
-0.6034431257160526,-0.1598091686364029,sf
-0.7503675266676004,0.0640336150275334,sf
-0.9013624776311682,0.4291565900543102,sf
-1.678494207680229,0.7563786346169442,sf
-0.8101247958846454,0.1939927877661898,sf
-1.1883091124152847,0.3079564015144174,sf
-0.3726564613827253,-0.369197516218485,sf
-1.1292328477969404,0.5400073040130374,sf
-0.5248534624296534,-0.2023513408287583,sf
-0.9704519100396712,0.505972158595506,sf
-0.4816224610905898,-0.8435048766897448,sf
-1.4282600232880012,0.7444241412814186,sf
-0.4619951015973021,-0.2117569107239203,sf
-0.4345779016488893,-0.8796402719590217,sf
-1.6032254889988795,0.8243516241949154,sf
-0.6038406523125901,-0.1282666547315798,sf
-1.4356466008514444,0.5178863383018142,sf
-0.8613071549709543,0.4369605179086723,sf
-1.2602813596624511,0.4301857767401887,sf
-0.8488216613951912,0.1777535808902176,sf
-1.3257624731722135,0.6000226496694009,sf
-0.4568918624945423,-0.2372799480709985,sf
-1.4986065787830023,0.6285334019895638,sf
-1.0547280250860986,0.4690441829781864,sf
-0.5391176387876077,-0.1851134838000997,sf
-0.7398722407431273,0.0973526777462555,sf
-0.5463393544100876,-0.3206403919650777,sf
-0.6640948100926216,-0.0300399209805216,sf
-0.8356518479930568,0.2723862970073278,sf
-1.1912041865780405,0.5043837110211061,sf
-0.7854562805832725,0.1550480542526291,sf
-0.8892909890553666,0.4400702173207795,sf
-0.5555402003189671,-0.1129507832685372,sf
-0.467542888304801,-0.5940521734763048,sf
-0.4137251215422319,-0.4317685067244816,sf
-0.7834155297343487,0.0585998514937133,sf
-0.653048501718579,0.1274316432020845,sf
-1.4976470223403733,0.7304842498934294,sf
-1.4880761704945669,0.5916176041874791,sf
-1.1886485780791425,0.542866552507018,sf
-0.5230244143299766,-0.324468626288828,sf
-0.5582169774041608,-0.0722999812127417,sf
-0.5958011696487878,0.045654865685296,sf
-0.7915045771909427,0.1407890292976846,sf
-0.5452945872511996,-0.1873829087740715,sf
-1.135811347286905,0.4582409118024808,sf
-0.474412940817522,-0.0851095858959141,sf
-0.4698881503982034,-0.2353047664537436,sf
-1.6767145415885325,0.8827838676126157,sf
-0.8390426436192983,0.240336660825059,sf
-0.6377499551727799,0.1712917033013313,sf
-0.7581149281129481,0.1259431002694906,sf
-0.8491393594378635,0.346942298961552,sf
-0.3925292809216647,-0.2637465762378797,sf
-1.6344230735519474,0.6438816933416377,sf
-1.1264631588881169,0.5359624012897013,sf
-0.9878077375939602,0.5302993995768417,sf
-0.7945790311764609,0.2467845682892546,sf
-0.6100165063609241,-0.2208696529183381,sf
-0.4986633600550199,-0.0206887824005225,sf
-0.5366959860498035,-0.2292331923747289,sf
